,date,range_high,range_high_time,range_low_time,range_low,range_open,range_close,range_true,orb_high,orb_low,orb_open,orb_close,orb_true,range_conf_direction,range_conf_time,orb_conf_direction,orb_conf_time,box_color,orb_range_direction,max_ret,max_ret_pct,max_ret_time,max_ext,max_ext_pct,max_ext_time,orb_open_touch_time
4366,2024-12-05,21551.5,09:35:00,09:55:00,21497.75,21535.25,21517.75,False,21551.5,21518.75,21535.25,21533.75,True,Long,12:10:00,Short,09:45:00,Red,Long,21536.75,0.549618320610687,10:15:00,21497.75,0.6412213740458015,09:55:00,10:15:00
4367,2024-12-06,21645.25,10:15:00,09:30:00,21486.0,21491.0,21633.5,True,21554.5,21486.0,21491.0,21551.25,True,Long,13:05:00,Long,09:45:00,Green,Short,21582.0,-0.40145985401459855,09:50:00,21645.25,1.3248175182481752,10:15:00,
4368,2024-12-09,21648.75,09:50:00,10:25:00,21545.0,21615.0,21554.0,True,21642.5,21582.75,21615.0,21623.75,False,Short,10:35:00,Long,09:45:00,Red,Short,21545.0,1.6317991631799162,10:25:00,21648.75,0.10460251046025104,09:50:00,09:55:00
4369,2024-12-10,21606.75,10:15:00,09:30:00,21505.5,21532.75,21561.75,True,21576.75,21505.5,21532.75,21575.25,True,Short,10:55:00,Long,10:00:00,Green,Short,21561.5,0.21403508771929824,10:25:00,21606.75,0.42105263157894735,10:15:00,
4370,2024-12-11,21736.25,10:15:00,09:30:00,21573.0,21589.5,21691.25,True,21639.5,21573.0,21589.5,21636.5,True,Long,11:10:00,Long,09:45:00,Green,Short,21667.25,-0.41729323308270677,09:50:00,21736.25,1.4548872180451127,10:15:00,
4371,2024-12-12,21719.25,10:25:00,10:10:00,21624.75,21694.0,21707.5,False,21696.75,21656.0,21694.0,21688.0,False,Long,10:55:00,Short,10:05:00,Green,Long,21719.25,1.5521472392638036,10:25:00,21624.75,0.7668711656441718,10:10:00,10:20:00
4372,2024-12-13,21908.0,09:45:00,09:30:00,21790.0,21795.25,21803.25,True,21895.0,21790.0,21795.25,21888.75,True,Short,10:40:00,Short,10:40:00,Green,Short,,,,,,,
4373,2024-12-16,22290.75,10:25:00,09:30:00,22191.75,22194.25,22290.25,True,22249.25,22191.75,22194.25,22211.5,True,Long,10:30:00,Long,09:50:00,Green,Short,22221.25,0.48695652173913045,10:20:00,22290.75,0.7217391304347827,10:25:00,
4374,2024-12-17,22366.75,09:45:00,10:20:00,22244.25,22336.0,22247.75,True,22366.0,22279.5,22336.0,22360.25,True,Long,11:35:00,Short,10:00:00,Red,Short,22318.25,0.4479768786127168,10:10:00,22244.25,0.407514450867052,10:20:00,
4375,2024-12-18,22316.0,10:20:00,09:35:00,22211.25,22280.5,22312.5,False,22303.25,22211.25,22280.5,22272.25,True,Long,10:35:00,Long,10:10:00,Green,Long,22289.25,0.15217391304347827,10:25:00,22316.0,0.13858695652173914,10:20:00,
4376,2024-12-19,21697.75,09:30:00,10:25:00,21497.0,21677.25,21501.5,True,21697.75,21568.0,21677.25,21586.0,True,Short,10:30:00,Short,09:50:00,Red,Long,21638.0,0.5394990366088632,10:10:00,21497.0,0.5472061657032755,10:25:00,
4377,2024-12-20,21461.25,10:25:00,09:50:00,21160.5,21210.5,21457.75,True,21309.0,21184.25,21210.5,21265.25,True,Long,10:30:00,Long,10:10:00,Green,Short,21324.25,-0.12224448897795591,10:15:00,21461.25,1.220440881763527,10:25:00,
